Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-A6-3807	0	0.0668471646696625	0.0249072645929553	0.0941148172671631	0	0.0326615970284683	0.0715151438569075	0.114508587639004	0	0	0.0938550563867826	0	0	0.111247754954942	0.0752560993649021	0.129560498070657	0	0	0.0242170418803424	0	0.0645632346905431	0.0967457395976706	0.513	0.00239907995403614	1.07457757131004
TCGA-AA-A01R	0	0.0722417879601664	0.0398883398596431	0.237052745031883	0	0	0	0.110179565067385	0.128478373001151	0	0	0.117108169979593	0	0.143179894097713	0.0317652062687276	0.0498068010943501	0.0146650556262996	0.00187909504600979	0.0537549669670794	0	0	0	0.035	0.224605795218218	1.00810391388716
TCGA-AA-3812	0.00752820691264457	0	0.0997026003939356	0.0727957607957739	0	0	0	0.0152398360169236	0.0978398900879552	0	0	0	0	0.592823700218879	0.0148178385336227	0.0399345619162062	0.010078296206696	0	0	0.049239308917363	0	0	0.045	0.197047050546667	1.06662305166997
TCGA-A6-2672	0	0.0152078150350082	0.0631318729743319	0.0609468803768793	0	0.272111192448061	0.0241745330877469	0.0685656953184493	0	0	0.122210299651334	0	0.0170372174461168	0.138954843252407	0.0937049465487281	0.00555043347412704	0.0085652453713906	0.0180542835730083	0	0.0713545830407924	0	0.0204301584016187	0.106	0.118907219075511	1.04629311347723
TCGA-D5-6540	0.0107616251931171	0	0.00305931207230843	0.140736046009271	0	0	0.00146320814093839	0.0981040259727842	0.0391088854873368	0	0.108863469669292	0	0	0.240839170534781	0.0841693646181162	0.0475368476582707	0.000181812919819097	0	0	0.188788773638272	0	0.0363874580856926	0.047	0.191617606696991	1.02523967911415
TCGA-A6-3808	0.0136015878283379	0	0.163802212179897	0.0742421123517185	0	0.0969526729552502	0.0297162378160764	0.0436358671317668	0.0500052097441144	0	0	0	0	0.185136506452596	0.0377161745427891	0.146582991888654	0.0153137671351242	0	0.0455603147839455	0.0478437116403173	0.0254100228209204	0.0244806107284922	0.018	0.299378227298193	0.959084572693376
TCGA-A6-6137	0	0.030408237214084	0.249779844786855	0.0478260370345836	0	0.171962093821422	0.0704476900657942	0.00250638089321575	0.146299664560343	0	0.00108085493753412	0	0.010005246095564	0.12433529570677	0.0143200633159189	0.0233181135454264	0.010774766256381	0.0567190011273049	0.0323064096319605	0.00791030100684308	0	0	0.006	0.427954618465975	0.903481758545227
TCGA-CM-6168	0.00714085064293444	0.0220107497428071	0.0563125521389299	0.0515562173025306	0	0.138689900073672	0.0062441886639648	0.0463524622454238	0.0497857954688499	0	0.0394400537369034	0	0	0.16819689217937	0.0622917572213645	0.131010642027981	0.0225132600064924	0	0.0884008506578864	0.0447482271424996	0.0456241016980042	0.0196814990503853	0.075	0.14975851907241	1.01658813269219
TCGA-F4-6855	0	0.0291828276779128	0.096758549050661	0.0634550831019766	0	0.227026082061903	0	0.0171103652011865	0.0396660725086321	0	0.000473099741524992	0.0754804298841623	0.0510740845762319	0.23271754269856	0.0121185822629892	0.143115291857725	0.00466009440435256	0	0	0.00716189497218243	0	0	0.04	0.211429043604089	1.00370791019897
TCGA-AA-3492	0	0.00590180048366596	0.0395615920642032	0.235437144829466	0	0	0.0246280431995553	0.0263416346368741	0.065318527225432	0	0.0339822080360268	0.0288304854878257	0.0382962780747168	0.140265551376471	0.0745585680882159	0.0128524734138351	0.134112961419515	0	0	0.139912731664197	0	0	0.161	0.0859818896166565	1.05417227713798
